campaign_id,profile_name,variant,device,precision,family,stable_max_qubits,stable_qubits,highest_success_qubits,first_failure_qubits,highest_tested_qubits,tested_qubits
observable-frontier,cuquantum-observable-frontier-wsl,gpu_custatevec,GPU,double,ansatz,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_custatevec,GPU,double,ghz,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_custatevec,GPU,double,random,,,,24,36,24 28 32 34 36
observable-frontier,cuquantum-observable-frontier-wsl,gpu_custatevec,GPU,double,trotter,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_tensornetwork,GPU,double,ansatz,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_tensornetwork,GPU,double,ghz,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_tensornetwork,GPU,double,random,,,,24,36,24 28 32 34 36
observable-frontier,cuquantum-observable-frontier-wsl,gpu_tensornetwork,GPU,double,trotter,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_thrust,GPU,double,ansatz,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_thrust,GPU,double,ghz,,,,24,44,24 28 32 36 40 44
observable-frontier,cuquantum-observable-frontier-wsl,gpu_thrust,GPU,double,random,,,,24,36,24 28 32 34 36
observable-frontier,cuquantum-observable-frontier-wsl,gpu_thrust,GPU,double,trotter,,,,24,44,24 28 32 36 40 44
ideal-depth,cuquantum-ideal-depth-sweep-wsl,cpu_statevector,CPU,double,ansatz,,,,8,12,8 10 12
ideal-depth,cuquantum-ideal-depth-sweep-wsl,cpu_statevector,CPU,double,random,,,,8,12,8 10 12
ideal-depth,cuquantum-ideal-depth-sweep-wsl,cpu_statevector,CPU,double,trotter,,,,8,12,8 10 12
ideal-depth,cuquantum-ideal-depth-sweep-wsl,gpu_tensornetwork,GPU,double,ansatz,,,,16,28,16 20 24 28
ideal-depth,cuquantum-ideal-depth-sweep-wsl,gpu_tensornetwork,GPU,double,random,,,,16,28,16 20 24 28
ideal-depth,cuquantum-ideal-depth-sweep-wsl,gpu_tensornetwork,GPU,double,trotter,,,,16,28,16 20 24 28
ideal-depth,cuquantum-ideal-depth-sweep-wsl,gpu_thrust,GPU,double,ansatz,,,,16,28,16 20 24 28
ideal-depth,cuquantum-ideal-depth-sweep-wsl,gpu_thrust,GPU,double,random,,,,16,28,16 20 24 28
ideal-depth,cuquantum-ideal-depth-sweep-wsl,gpu_thrust,GPU,double,trotter,,,,16,28,16 20 24 28
noisy-depth,cuquantum-noisy-depth-sweep-wsl,cpu_statevector,CPU,double,ansatz,16,12 16,20,20,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,cpu_statevector,CPU,double,ghz,20,12 16 20,20,24,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,cpu_statevector,CPU,double,trotter,16,12 16,20,20,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_custatevec,GPU,double,ansatz,,,,12,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_custatevec,GPU,double,ghz,,,,12,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_custatevec,GPU,double,trotter,,,,12,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_tensornetwork,GPU,double,ansatz,,,16,12,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_tensornetwork,GPU,double,ghz,,,24,12,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_tensornetwork,GPU,double,trotter,,,24,12,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_thrust,GPU,double,ansatz,16,12 16,20,20,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_thrust,GPU,double,ghz,20,12 16 20,20,24,24,12 16 20 24
noisy-depth,cuquantum-noisy-depth-sweep-wsl,gpu_thrust,GPU,double,trotter,16,12 16,20,20,24,12 16 20 24
