campaign_id,variant,family,qubits,depth,rows,success_rows,success_rate_pct,median_tvd,median_jsd,median_wall_s,median_simulate_s
speed-sweep,gpu_thrust,random,20,8,10,10,100.0,,,0.2194,0.0485
speed-sweep,gpu_thrust,random,22,8,10,10,100.0,,,0.63,0.2004
speed-sweep,gpu_thrust,random,24,8,10,10,100.0,,,2.6142,1.1388
speed-sweep,gpu_thrust,random,26,8,10,10,100.0,,,10.0827,4.0109
speed-sweep,gpu_thrust,random,28,8,10,10,100.0,,,38.7197,12.4297
speed-sweep,gpu_thrust,trotter,20,12,10,10,100.0,,,0.3216,0.1428
speed-sweep,gpu_thrust,trotter,22,12,10,10,100.0,,,0.9895,0.5575
speed-sweep,gpu_thrust,trotter,24,12,10,10,100.0,,,4.3179,2.7831
speed-sweep,gpu_thrust,trotter,26,12,10,10,100.0,,,14.5134,8.3746
speed-sweep,gpu_thrust,trotter,28,12,10,10,100.0,,,56.6388,31.502
exact-frontier,cpu_statevector,ansatz,20,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ansatz,22,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ansatz,24,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ansatz,26,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ansatz,27,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ansatz,28,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ansatz,29,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ansatz,30,6,20,0,0.0,,,,
exact-frontier,cpu_statevector,ghz,20,1,10,10,100.0,,,5.6908,0.0607
exact-frontier,cpu_statevector,ghz,22,1,10,10,100.0,,,6.0909,0.0989
exact-frontier,cpu_statevector,ghz,24,1,10,10,100.0,,,7.091,0.2366
exact-frontier,cpu_statevector,ghz,26,1,10,10,100.0,,,12.3931,0.7808
exact-frontier,cpu_statevector,ghz,27,1,10,10,100.0,,,19.4539,1.4215
exact-frontier,cpu_statevector,ghz,28,1,10,10,100.0,,,34.5951,2.9399
exact-frontier,cpu_statevector,ghz,29,1,10,0,0.0,,,,
exact-frontier,cpu_statevector,ghz,30,1,10,0,0.0,,,,
exact-frontier,cpu_statevector,random,20,8,20,8,40.0,,,5.5541,0.0821
exact-frontier,cpu_statevector,random,22,8,20,0,0.0,,,,
exact-frontier,cpu_statevector,random,24,8,20,0,0.0,,,,
exact-frontier,cpu_statevector,random,26,8,20,0,0.0,,,,
exact-frontier,cpu_statevector,random,27,8,20,0,0.0,,,,
exact-frontier,cpu_statevector,random,28,8,20,0,0.0,,,,
exact-frontier,cpu_statevector,random,29,8,20,0,0.0,,,,
exact-frontier,cpu_statevector,random,30,8,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,20,12,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,22,12,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,24,12,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,26,12,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,27,12,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,28,12,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,29,12,20,0,0.0,,,,
exact-frontier,cpu_statevector,trotter,30,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,20,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,22,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,24,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,26,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,27,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,28,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,29,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,30,6,20,0,0.0,,,,
exact-frontier,gpu_custatevec,ansatz,31,6,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,20,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,22,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,24,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,26,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,27,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,28,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,29,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,30,1,10,0,0.0,,,,
exact-frontier,gpu_custatevec,ghz,31,1,5,0,0.0,,,,
exact-frontier,gpu_custatevec,random,20,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,22,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,24,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,26,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,27,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,28,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,29,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,30,8,20,0,0.0,,,,
exact-frontier,gpu_custatevec,random,31,8,10,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,20,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,22,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,24,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,26,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,27,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,28,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,29,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,30,12,20,0,0.0,,,,
exact-frontier,gpu_custatevec,trotter,31,12,10,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,20,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,22,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,24,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,26,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,27,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,28,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,29,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,30,6,20,0,0.0,,,,
exact-frontier,gpu_thrust,ansatz,31,6,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,20,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,22,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,24,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,26,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,27,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,28,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,29,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,30,1,10,0,0.0,,,,
exact-frontier,gpu_thrust,ghz,31,1,5,0,0.0,,,,
exact-frontier,gpu_thrust,random,20,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,22,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,24,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,26,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,27,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,28,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,29,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,30,8,20,0,0.0,,,,
exact-frontier,gpu_thrust,random,31,8,10,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,20,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,22,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,24,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,26,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,27,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,28,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,29,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,30,12,20,0,0.0,,,,
exact-frontier,gpu_thrust,trotter,31,12,10,0,0.0,,,,
observable-frontier,cpu_statevector,ansatz,24,6,10,0,0.0,,,,
observable-frontier,cpu_statevector,ansatz,28,6,10,0,0.0,,,,
observable-frontier,cpu_statevector,ansatz,32,6,10,0,0.0,,,,
observable-frontier,cpu_statevector,ansatz,36,6,10,0,0.0,,,,
observable-frontier,cpu_statevector,ansatz,40,6,10,0,0.0,,,,
observable-frontier,cpu_statevector,ansatz,44,6,10,0,0.0,,,,
observable-frontier,cpu_statevector,ghz,24,1,5,0,0.0,,,,
observable-frontier,cpu_statevector,ghz,28,1,5,0,0.0,,,,
observable-frontier,cpu_statevector,ghz,32,1,5,0,0.0,,,,
observable-frontier,cpu_statevector,ghz,36,1,5,0,0.0,,,,
observable-frontier,cpu_statevector,ghz,40,1,5,0,0.0,,,,
observable-frontier,cpu_statevector,ghz,44,1,5,0,0.0,,,,
observable-frontier,cpu_statevector,random,24,8,10,0,0.0,,,,
observable-frontier,cpu_statevector,random,28,8,10,0,0.0,,,,
observable-frontier,cpu_statevector,random,32,8,10,0,0.0,,,,
observable-frontier,cpu_statevector,random,34,8,10,0,0.0,,,,
observable-frontier,cpu_statevector,random,36,8,10,0,0.0,,,,
observable-frontier,cpu_statevector,trotter,24,12,10,0,0.0,,,,
observable-frontier,cpu_statevector,trotter,28,12,10,0,0.0,,,,
observable-frontier,cpu_statevector,trotter,32,12,10,0,0.0,,,,
observable-frontier,cpu_statevector,trotter,36,12,10,0,0.0,,,,
observable-frontier,cpu_statevector,trotter,40,12,10,0,0.0,,,,
observable-frontier,cpu_statevector,trotter,44,12,10,0,0.0,,,,
observable-frontier,gpu_custatevec,ansatz,24,6,10,0,0.0,,,,
observable-frontier,gpu_custatevec,ansatz,28,6,10,0,0.0,,,,
observable-frontier,gpu_custatevec,ansatz,32,6,10,0,0.0,,,,
observable-frontier,gpu_custatevec,ansatz,36,6,10,0,0.0,,,,
observable-frontier,gpu_custatevec,ansatz,40,6,10,0,0.0,,,,
observable-frontier,gpu_custatevec,ansatz,44,6,10,0,0.0,,,,
observable-frontier,gpu_custatevec,ghz,24,1,5,0,0.0,,,,
observable-frontier,gpu_custatevec,ghz,28,1,5,0,0.0,,,,
observable-frontier,gpu_custatevec,ghz,32,1,5,0,0.0,,,,
observable-frontier,gpu_custatevec,ghz,36,1,5,0,0.0,,,,
observable-frontier,gpu_custatevec,ghz,40,1,5,0,0.0,,,,
observable-frontier,gpu_custatevec,ghz,44,1,5,0,0.0,,,,
observable-frontier,gpu_custatevec,random,24,8,10,0,0.0,,,,
observable-frontier,gpu_custatevec,random,28,8,10,0,0.0,,,,
observable-frontier,gpu_custatevec,random,32,8,10,0,0.0,,,,
observable-frontier,gpu_custatevec,random,34,8,10,0,0.0,,,,
observable-frontier,gpu_custatevec,random,36,8,10,0,0.0,,,,
observable-frontier,gpu_custatevec,trotter,24,12,10,0,0.0,,,,
observable-frontier,gpu_custatevec,trotter,28,12,10,0,0.0,,,,
observable-frontier,gpu_custatevec,trotter,32,12,10,0,0.0,,,,
observable-frontier,gpu_custatevec,trotter,36,12,10,0,0.0,,,,
observable-frontier,gpu_custatevec,trotter,40,12,10,0,0.0,,,,
observable-frontier,gpu_custatevec,trotter,44,12,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ansatz,24,6,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ansatz,28,6,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ansatz,32,6,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ansatz,36,6,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ansatz,40,6,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ansatz,44,6,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ghz,24,1,5,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ghz,28,1,5,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ghz,32,1,5,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ghz,36,1,5,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ghz,40,1,5,0,0.0,,,,
observable-frontier,gpu_tensornetwork,ghz,44,1,5,0,0.0,,,,
observable-frontier,gpu_tensornetwork,random,24,8,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,random,28,8,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,random,32,8,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,random,34,8,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,random,36,8,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,trotter,24,12,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,trotter,28,12,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,trotter,32,12,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,trotter,36,12,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,trotter,40,12,10,0,0.0,,,,
observable-frontier,gpu_tensornetwork,trotter,44,12,10,0,0.0,,,,
observable-frontier,gpu_thrust,ansatz,24,6,10,0,0.0,,,,
observable-frontier,gpu_thrust,ansatz,28,6,10,0,0.0,,,,
observable-frontier,gpu_thrust,ansatz,32,6,10,0,0.0,,,,
observable-frontier,gpu_thrust,ansatz,36,6,10,0,0.0,,,,
observable-frontier,gpu_thrust,ansatz,40,6,10,0,0.0,,,,
observable-frontier,gpu_thrust,ansatz,44,6,10,0,0.0,,,,
observable-frontier,gpu_thrust,ghz,24,1,5,0,0.0,,,,
observable-frontier,gpu_thrust,ghz,28,1,5,0,0.0,,,,
observable-frontier,gpu_thrust,ghz,32,1,5,0,0.0,,,,
observable-frontier,gpu_thrust,ghz,36,1,5,0,0.0,,,,
observable-frontier,gpu_thrust,ghz,40,1,5,0,0.0,,,,
observable-frontier,gpu_thrust,ghz,44,1,5,0,0.0,,,,
observable-frontier,gpu_thrust,random,24,8,10,0,0.0,,,,
observable-frontier,gpu_thrust,random,28,8,10,0,0.0,,,,
observable-frontier,gpu_thrust,random,32,8,10,0,0.0,,,,
observable-frontier,gpu_thrust,random,34,8,10,0,0.0,,,,
observable-frontier,gpu_thrust,random,36,8,10,0,0.0,,,,
observable-frontier,gpu_thrust,trotter,24,12,10,0,0.0,,,,
observable-frontier,gpu_thrust,trotter,28,12,10,0,0.0,,,,
observable-frontier,gpu_thrust,trotter,32,12,10,0,0.0,,,,
observable-frontier,gpu_thrust,trotter,36,12,10,0,0.0,,,,
observable-frontier,gpu_thrust,trotter,40,12,10,0,0.0,,,,
observable-frontier,gpu_thrust,trotter,44,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,8,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,8,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,8,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,8,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,8,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,8,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,8,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,10,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,10,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,10,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,10,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,10,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,10,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,10,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,12,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,12,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,12,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,12,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,12,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,12,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,ansatz,12,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,8,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,8,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,8,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,8,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,8,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,8,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,8,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,10,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,10,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,10,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,10,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,10,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,10,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,10,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,12,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,12,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,12,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,12,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,12,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,12,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,random,12,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,8,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,8,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,8,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,8,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,8,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,8,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,8,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,10,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,10,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,10,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,10,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,10,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,10,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,10,32,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,12,2,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,12,4,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,12,8,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,12,12,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,12,16,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,12,24,10,0,0.0,,,,
ideal-depth,cpu_statevector,trotter,12,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,16,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,16,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,16,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,16,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,16,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,16,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,16,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,20,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,20,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,20,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,20,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,20,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,20,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,20,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,24,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,24,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,24,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,24,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,24,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,24,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,24,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,28,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,28,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,28,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,28,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,28,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,28,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,ansatz,28,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,16,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,16,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,16,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,16,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,16,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,16,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,16,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,20,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,20,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,20,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,20,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,20,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,20,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,20,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,24,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,24,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,24,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,24,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,24,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,24,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,24,32,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,28,2,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,28,4,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,28,8,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,28,12,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,28,16,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,28,24,10,0,0.0,,,,
ideal-depth,gpu_tensornetwork,random,28,32,10,0,0.0,,,,
